Threshold, DrainDen, NoFirstOrd,NoHighOrd, MeanDFirstOrd, MeanDHighOrd, StdDevFirstOrd, StdDevHighOrd, T
0.056589, 1.255293e-01, 229960, 60732, 2.081004, 2.621608, 3.521890, 3.652731, -33.382221
0.372508, 1.255293e-01, 229960, 60732, 2.081004, 2.621608, 3.521890, 3.652731, -33.382221
2.452087, 8.883279e-02, 118857, 35227, 3.073500, 2.930908, 4.024499, 3.745795, 5.931958
16.141222, 2.850079e-02, 28210, 7819, 3.054264, 3.562193, 3.410422, 4.558230, -10.770422
106.251938, 6.320449e-03, 3237, 822, 3.383957, 7.215864, 3.863934, 8.469138, -19.086061
699.418823, 2.463232e-03, 393, 94, 8.027286, 15.913836, 7.344771, 16.435272, -7.032582
4604.026367, 1.196183e-03, 61, 16, 14.612295, 25.065399, 10.340607, 29.576818, -2.305796
30306.671875, 5.363742e-04, 9, 2, 27.252666, 35.485672, 27.323944, 30.451706, -0.380358
Optimum Threshold Value: 30306.671875
