	-97.722117	30.188727	116.357162	145.366104	120216192.000000
	-97.722024	30.188727	107.441132	145.366104	120217016.000000
	-97.721931	30.188727	98.525101	145.366104	120217104.000000
	-97.721839	30.188727	89.609070	145.169266	120218936.000000
	-97.721746	30.188727	80.693039	145.169266	120219208.000000
	-97.721654	30.188819	67.094597	145.169266	120221592.000000
	-97.721561	30.188819	58.178574	145.151138	120222136.000000
	-97.721468	30.188727	44.580139	144.857788	120224792.000000
	-97.721376	30.188727	35.664112	144.754074	120225984.000000
	-97.721283	30.188727	26.748085	144.754074	120227080.000000
	-97.721191	30.188727	17.832056	144.754074	120229008.000000
	-97.721098	30.188727	8.916028	144.754074	120230192.000000
	-97.721006	30.188727	0.000000	144.754074	120232392.000000
	-97.722394	30.189283	199.125244	145.750366	78197904.000000
	-97.722394	30.189190	188.857727	145.750366	78198360.000000
	-97.722394	30.189097	178.590210	145.750366	78201480.000000
	-97.722394	30.189005	168.322693	145.750366	78203032.000000
	-97.722394	30.188912	158.055176	145.734619	78203768.000000
	-97.722302	30.188819	144.456741	145.396423	78204224.000000
	-97.722302	30.188727	134.189224	145.366104	78206240.000000
	-97.722209	30.188727	125.273193	145.366104	78206512.000000
	-97.722117	30.188727	116.357162	145.366104	120216192.000000
	-97.721931	30.193080	643.408630	148.796463	77940472.000000
	-97.722024	30.192987	629.810425	148.796463	77941112.000000
	-97.722117	30.192895	616.212219	148.715881	77942208.000000
	-97.722117	30.192802	605.944702	148.689484	77944768.000000
	-97.722209	30.192709	592.346497	148.689484	77946968.000000
	-97.722209	30.192617	582.078979	148.634613	77949256.000000
	-97.722209	30.192524	571.811462	148.543396	77951088.000000
	-97.722209	30.192432	561.543945	148.472336	77953288.000000
	-97.722209	30.192339	551.276428	148.472336	77970040.000000
	-97.722209	30.192246	541.008911	148.472336	77972056.000000
	-97.722209	30.192154	530.741394	148.472336	78049232.000000
	-97.722302	30.192061	517.143127	148.389160	78051152.000000
	-97.722302	30.191969	506.875580	148.340225	78057744.000000
	-97.722302	30.191876	496.608063	148.208664	78067632.000000
	-97.722302	30.191783	486.340546	148.153091	78083560.000000
	-97.722209	30.191691	472.742279	148.005295	78086400.000000
	-97.722209	30.191598	462.474762	148.005295	78089784.000000
	-97.722209	30.191505	452.207245	147.964020	78091432.000000
	-97.722209	30.191413	441.939728	147.939011	78091984.000000
	-97.722209	30.191320	431.672211	147.852036	78094000.000000
	-97.722209	30.191228	421.404694	147.771332	78108184.000000
	-97.722209	30.191135	411.137177	147.691086	78109288.000000
	-97.722209	30.191042	400.869659	147.644058	78110296.000000
	-97.722302	30.190950	387.271362	147.632996	78111760.000000
	-97.722302	30.190857	377.003845	147.571075	78117248.000000
	-97.722302	30.190764	366.736328	147.571075	78118712.000000
	-97.722302	30.190672	356.468811	147.571075	78121464.000000
	-97.722302	30.190579	346.201294	147.571075	78122744.000000
	-97.722302	30.190487	335.933777	147.571075	78123296.000000
	-97.722394	30.190394	322.335449	147.571075	78126408.000000
	-97.722394	30.190301	312.067932	147.571075	78149016.000000
	-97.722394	30.190209	301.800415	147.571075	78165408.000000
	-97.722394	30.190116	291.532898	147.571075	78166600.000000
	-97.722394	30.190023	281.265381	147.571075	78168424.000000
	-97.722394	30.189931	270.997864	147.571075	78178224.000000
	-97.722394	30.189838	260.730347	147.571075	78179600.000000
	-97.722394	30.189746	250.462830	147.571075	78180144.000000
	-97.722394	30.189653	240.195312	147.442734	78180600.000000
	-97.722394	30.189560	229.927795	147.261627	78180968.000000
	-97.722394	30.189468	219.660278	146.572540	78181240.000000
	-97.722394	30.189375	209.392761	146.010315	78182432.000000
	-97.722394	30.189283	199.125244	145.750366	78197904.000000
	-97.722024	30.193173	662.591797	148.927719	77864944.000000
	-97.722024	30.193080	652.324280	148.819794	77867688.000000
	-97.721931	30.193080	643.408630	148.796463	77940472.000000
	-97.721839	30.194562	829.927063	149.401321	77852400.000000
	-97.721839	30.194469	819.659546	149.401321	77853312.000000
	-97.721839	30.194377	809.392029	149.401321	77853496.000000
	-97.721931	30.194284	795.793945	149.359329	77854960.000000
	-97.721931	30.194191	785.526428	149.359329	77855512.000000
	-97.721931	30.194099	775.258911	149.359329	77856240.000000
	-97.721931	30.194006	764.991394	149.359329	77857248.000000
	-97.721931	30.193914	754.723877	149.299454	77858168.000000
	-97.722024	30.193821	741.125732	149.272156	77858624.000000
	-97.722024	30.193728	730.858215	149.267700	77860728.000000
	-97.722024	30.193636	720.590698	149.267700	77861464.000000
	-97.722024	30.193543	710.323181	149.267700	77861920.000000
	-97.722117	30.193450	696.725037	149.252777	77862288.000000
	-97.722117	30.193358	686.457520	149.113708	77864208.000000
	-97.722117	30.193265	676.190002	149.090271	77864664.000000
	-97.722024	30.193173	662.591797	148.927719	77864944.000000
	-97.721839	30.194655	840.194580	149.401321	77851848.000000
	-97.721839	30.194562	829.927063	149.401321	77852400.000000
	-97.722024	30.194655	858.025513	150.367874	73478528.000000
	-97.721931	30.194655	849.110046	149.766144	73479448.000000
	-97.721839	30.194655	840.194580	149.401321	77851848.000000
	-97.725450	30.191505	1458.980347	152.386887	73363544.000000
	-97.725357	30.191598	1445.382080	152.386887	73364096.000000
	-97.725264	30.191598	1436.466309	152.386887	73364920.000000
	-97.725172	30.191691	1422.868042	152.386887	73367024.000000
	-97.725079	30.191783	1409.269775	152.386887	73368760.000000
	-97.724987	30.191876	1395.671509	152.386887	73372152.000000
	-97.724894	30.191876	1386.755737	152.386887	73373160.000000
	-97.724801	30.191969	1373.157471	152.386887	73374896.000000
